Donor,ISO3,Recipient,Economic Development,WHO Region,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,"Disbursements, Million, 2010 constant US$ (2010-2011)"
Belgium,TGO,Togo,LDCs,Afr, -   , -   , 0.12 , -   , 0.12 
Belgium,BIH,Bosnia and Herzegovina,UMICs,Eur, -   , -   , 0.09 , -   , 0.09 
Belgium,GTM,Guatemala,LMICs,Amr, -   , -   , 0.08 , -   , 0.08 
Belgium,MKD,The former Yugoslav Republic of Macedonia,UMICs,Eur, -   , -   , 0.08 , -   , 0.08 
Belgium,CPV,Cape Verde,LMICs,Afr, 0.06 , -   , 0.00 , -   , 0.06 
Belgium,ETH,Ethiopia,LDCs,Afr, -   , -   , 0.05 , -   , 0.05 
Belgium,PRY,Paraguay,LMICs,Amr, -   , -   , 0.03 , -   , 0.03 
Belgium,MNE,Montenegro,UMICs,Eur, 0.03 , -   , -   , -   , 0.03 
Belgium,AFG,Afghanistan,LDCs,Emr, -   , -   , -   , 0.02 , 0.02 
Belgium,GMB,Gambia,LDCs,Afr, -   , -   , 0.01 , -   , 0.01 
Belgium,SOM,Somalia,LDCs,Emr, -   , -   , 0.01 , -   , 0.01 
Belgium,IDN,Indonesia,LMICs,Sear, -   , -   , 0.01 , -   , 0.01 
Belgium,LBN,Lebanon,UMICs,Emr, -   , -   , 0.00 , -   , 0.00 
Belgium,BRA,Brazil,UMICs,Amr, -   , -   , 0.00 , -   , 0.00 
Canada,Global and Regional,Global and Regional,Global and Regional,Global and Regional, 26.80 , 241.48 , 206.89 , 4.43 , 479.60 
Canada,MOZ,Mozambique,LDCs,Afr, 5.08 , 29.07 , 39.58 , 0.09 , 73.81 
Canada,MLI,Mali,LDCs,Afr, 0.70 , 6.92 , 63.02 , 2.28 , 72.92 
Canada,HTI,Haiti,LDCs,Amr, 12.66 , 3.43 , 39.78 , 5.87 , 61.74 
Canada,AFG,Afghanistan,LDCs,Emr, 15.95 , 34.69 , 3.39 , 0.10 , 54.14 
Canada,ETH,Ethiopia,LDCs,Afr, 0.12 , 4.31 , 47.54 , 0.11 , 52.09 
Canada,TZA,United Republic of Tanzania,LDCs,Afr, 1.74 , 2.71 , 44.90 , 1.45 , 50.81 
Canada,NGA,Nigeria,LMICs,Afr, 9.73 , 0.97 , 16.94 , 2.36 , 30.01 
Canada,BGD,Bangladesh,LDCs,Sear, 1.89 , 12.20 , 7.13 , 4.05 , 25.27 
Canada,HND,Honduras,LMICs,Amr, 0.88 , 5.38 , 11.84 , 0.01 , 18.12 
Canada,MWI,Malawi,LDCs,Afr, 0.17 , 5.06 , 7.89 , 0.12 , 13.23 
Canada,SEN,Senegal,LDCs,Afr, 0.19 , 0.50 , 11.53 , 0.21 , 12.43 
Canada,BOL,Bolivia (Plurinational State of),LMICs,Amr, 2.42 , 0.85 , 8.27 , 0.09 , 11.63 
Canada,GHA,Ghana,LMICs,Afr, 0.48 , 1.59 , 9.24 , 0.03 , 11.34 
Canada,NER,Niger,LDCs,Afr, 0.13 , 1.68 , 8.29 , 0.24 , 10.33 
Canada,COD,Democratic Republic of the Congo,LDCs,Afr, 3.72 , 0.30 , 4.70 , 0.51 , 9.23 
Canada,ZAF,South Africa,UMICs,Afr, 1.24 , 6.30 , 1.38 , 0.00 , 8.92 
Canada,ZWE,Zimbabwe,Other LICs,Afr, 0.07 , 5.10 , 1.81 , 1.25 , 8.24 
Canada,ZMB,Zambia,LDCs,Afr, 1.01 , 3.05 , 3.95 , -   , 8.01 
Canada,PAK,Pakistan,LMICs,Emr, 1.95 , 1.69 , 1.97 , 0.10 , 5.70 
Canada,SSD,South Sudan,Other LICs,Emr, -   , -   , 1.71 , 3.92 , 5.63 
Canada,SDN,Sudan,LDCs,Emr, 0.01 , 1.58 , 2.97 , 0.17 , 4.73 
Canada,SLE,Sierra Leone,LDCs,Afr, 0.35 , 0.05 , 4.19 , -   , 4.60 
Canada,IDN,Indonesia,LMICs,Sear, 0.17 , 1.14 , 1.92 , 0.01 , 3.24 
Canada,BFA,Burkina Faso,LDCs,Afr, 0.19 , 0.53 , 2.23 , 0.11 , 3.06 
Canada,IND,India,LMICs,Sear, 0.73 , 0.82 , 1.21 , 0.08 , 2.84 
Canada,KEN,Kenya,Other LICs,Afr, 0.60 , 0.35 , 1.44 , 0.10 , 2.50 
Canada,CHN,China,UMICs,Wpr, 0.48 , 1.54 , 0.29 , -   , 2.31 
Canada,NIC,Nicaragua,LMICs,Amr, 0.16 , 0.16 , 1.49 , 0.42 , 2.23 
Canada,BRA,Brazil,UMICs,Amr, 1.49 , 0.04 , 0.43 , -   , 1.97 
Canada,UGA,Uganda,LDCs,Afr, 0.40 , 0.80 , 0.69 , 0.06 , 1.94 
Canada,CIV,Côte d'Ivoire,LMICs,Afr, -   , -   , 1.70 , -   , 1.70 
Canada,GTM,Guatemala,LMICs,Amr, 0.39 , 0.39 , 0.40 , 0.22 , 1.40 
Canada,VNM,Viet Nam,LMICs,Wpr, 0.43 , 0.14 , 0.63 , -   , 1.19 
Canada,NAM,Namibia,UMICs,Afr, 0.11 , 0.84 , 0.05 , -   , 1.00 
Canada,CMR,Cameroon,LMICs,Afr, 0.03 , 0.11 , 0.81 , -   , 0.95 
Canada,PER,Peru,UMICs,Amr, 0.20 , 0.16 , 0.57 , 0.01 , 0.94 
Canada,GIN,Guinea,LDCs,Afr, 0.05 , 0.09 , 0.77 , -   , 0.92 
Canada,SWZ,Swaziland,LMICs,Afr, 0.01 , 0.86 , 0.04 , -   , 0.91 
Canada,RWA,Rwanda,LDCs,Afr, 0.12 , 0.10 , 0.58 , -   , 0.80 
Canada,GUY,Guyana,LMICs,Amr, 0.15 , 0.18 , 0.44 , -   , 0.76 
Canada,NPL,Nepal,LDCs,Sear, 0.20 , 0.20 , 0.19 , 0.00 , 0.59 
Canada,DOM,Dominican Republic,UMICs,Amr, 0.22 , 0.01 , 0.26 , 0.05 , 0.54 
Canada,BEN,Benin,LDCs,Afr, 0.02 , 0.28 , 0.19 , 0.04 , 0.52 
Canada,BDI,Burundi,LDCs,Afr, 0.02 , 0.20 , 0.25 , -   , 0.47 
Canada,SLV,El Salvador,LMICs,Amr, 0.02 , 0.20 , 0.22 , -   , 0.44 
Canada,LBN,Lebanon,UMICs,Emr, 0.27 , -   , 0.17 , -   , 0.43 
Canada,BWA,Botswana,UMICs,Afr, 0.08 , 0.22 , 0.08 , -   , 0.39 
Canada,KHM,Cambodia,LDCs,Wpr, 0.04 , 0.04 , 0.28 , -   , 0.37 
Canada,LAO,Lao People's Democratic Republic,LDCs,Wpr, 0.10 , 0.00 , 0.26 , -   , 0.36 
Canada,TGO,Togo,LDCs,Afr, 0.02 , 0.03 , 0.22 , -   , 0.28 
Canada,ECU,Ecuador,UMICs,Amr, 0.05 , 0.01 , 0.22 , -   , 0.28 
Canada,CUB,Cuba,UMICs,Amr, 0.03 , 0.09 , 0.15 , -   , 0.27 
Canada,COL,Colombia,UMICs,Amr, 0.07 , 0.04 , 0.01 , 0.14 , 0.25 
Canada,LBR,Liberia,LDCs,Afr, 0.24 , -   , -   , -   , 0.24 
Canada,EGY,Egypt,LMICs,Emr, 0.22 , 0.00 , 0.00 , 0.00 , 0.23 
Canada,MNG,Mongolia,LMICs,Wpr, -   , -   , 0.22 , -   , 0.22 
Canada,JOR,Jordan,UMICs,Emr, 0.16 , -   , 0.04 , -   , 0.20 
Canada,LKA,Sri Lanka,LMICs,Sear, -   , 0.07 , 0.11 , -   , 0.19 
Canada,YEM,Yemen,LDCs,Emr, 0.18 , -   , -   , -   , 0.18 
Canada,PHL,Philippines,LMICs,Wpr, 0.02 , 0.01 , 0.13 , 0.00 , 0.16 
Canada,UKR,Ukraine,LMICs,Eur, 0.04 , 0.12 , 0.00 , -   , 0.16 
Canada,DZA,Algeria,UMICs,Afr, -   , 0.12 , 0.02 , -   , 0.15 
Canada,CRI,Costa Rica,UMICs,Amr, 0.02 , -   , 0.13 , -   , 0.15 
Canada,PSE,West Bank and Gaza Strip,LMICs,Not UN, -   , -   , 0.13 , -   , 0.13 
Canada,LSO,Lesotho,LDCs,Afr, 0.03 , 0.02 , 0.07 , -   , 0.13 
Canada,ARG,Argentina,UMICs,Amr, 0.09 , 0.03 , 0.00 , -   , 0.12 
Canada,PRY,Paraguay,LMICs,Amr, 0.10 , -   , 0.01 , -   , 0.11 
Canada,THA,Thailand,UMICs,Sear, 0.00 , 0.03 , 0.07 , -   , 0.11 
Canada,TCD,Chad,LDCs,Afr, 0.07 , 0.03 , -   , 0.01 , 0.10 
Canada,JAM,Jamaica,UMICs,Amr, 0.00 , 0.08 , 0.00 , -   , 0.09 
Canada,URY,Uruguay,UMICs,Amr, 0.08 , 0.01 , -   , -   , 0.08 
Canada,MDG,Madagascar,LDCs,Afr, 0.01 , 0.07 , -   , -   , 0.08 
Canada,BLZ,Belize,LMICs,Amr, 0.02 , 0.02 , 0.03 , -   , 0.07 
Canada,TUN,Tunisia,UMICs,Emr, -   , 0.06 , -   , -   , 0.06 
Canada,COG,Congo,LMICs,Afr, 0.06 , -   , -   , -   , 0.06 
Canada,DMA,Dominica,UMICs,Amr, 0.04 , -   , 0.01 , -   , 0.05 
Canada,GMB,Gambia,LDCs,Afr, -   , 0.05 , -   , -   , 0.05 
Canada,VCT,Saint Vincent and the Grenadines,UMICs,Amr, 0.03 , 0.02 , -   , -   , 0.05 
Canada,TLS,Timor-Leste,LDCs,Sear, 0.02 , 0.01 , -   , -   , 0.04 
Canada,CHL,Chile,UMICs,Amr, 0.03 , -   , -   , -   , 0.03 
Canada,VEN,Venezuela (Bolivarian Republic of),UMICs,Amr, 0.02 , 0.01 , -   , -   , 0.03 
Canada,SUR,Suriname,UMICs,Amr, 0.02 , -   , 0.01 , -   , 0.03 
Canada,GNB,Guinea-Bissau,LDCs,Afr, 0.02 , -   , -   , -   , 0.02 
Canada,MRT,Mauritania,LDCs,Afr, -   , -   , 0.02 , -   , 0.02 
Canada,MAR,Morocco,LMICs,Emr, -   , -   , 0.02 , -   , 0.02 
