Donor,ISO3,Recipient,Economic Development,WHO Region,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,"Disbursements, Million, 2010 constant US$ (2010-2011)"
France,LBR,Liberia,LDCs,Afr, -   , 0.34 , -   , -   , 0.34 
France,RWA,Rwanda,LDCs,Afr, 0.26 , -   , 0.01 , -   , 0.26 
France,AGO,Angola,LDCs,Afr, 0.21 , 0.04 , 0.00 , -   , 0.25 
France,GHA,Ghana,LMICs,Afr, -   , 0.25 , -   , -   , 0.25 
France,JOR,Jordan,UMICs,Emr, 0.18 , -   , -   , -   , 0.18 
France,BWA,Botswana,UMICs,Afr, 0.16 , -   , 0.02 , -   , 0.18 
France,DZA,Algeria,UMICs,Afr, 0.07 , 0.04 , 0.04 , -   , 0.15 
France,SYC,Seychelles,UMICs,Afr, 0.12 , -   , -   , -   , 0.12 
France,GNB,Guinea-Bissau,LDCs,Afr, 0.12 , -   , -   , -   , 0.12 
France,NGA,Nigeria,LMICs,Afr, 0.10 , -   , -   , -   , 0.10 
France,UKR,Ukraine,LMICs,Eur, 0.02 , -   , 0.08 , -   , 0.10 
France,SLV,El Salvador,LMICs,Amr, -   , -   , 0.09 , -   , 0.09 
France,BGD,Bangladesh,LDCs,Sear, 0.03 , -   , -   , -   , 0.03 
France,CPV,Cape Verde,LMICs,Afr, 0.03 , -   , -   , -   , 0.03 
France,VEN,Venezuela (Bolivarian Republic of),UMICs,Amr, 0.01 , -   , 0.02 , -   , 0.03 
France,GMB,Gambia,LDCs,Afr, 0.02 , -   , 0.01 , -   , 0.03 
France,ZWE,Zimbabwe,Other LICs,Afr, 0.03 , -   , -   , -   , 0.03 
France,MNG,Mongolia,LMICs,Wpr, 0.00 , -   , 0.02 , -   , 0.02 
France,YEM,Yemen,LDCs,Emr, -   , -   , 0.01 , -   , 0.01 
France,PHL,Philippines,LMICs,Wpr, 0.01 , -   , 0.00 , -   , 0.01 
France,NIC,Nicaragua,LMICs,Amr, 0.01 , -   , -   , -   , 0.01 
France,URY,Uruguay,UMICs,Amr, -   , -   , 0.01 , -   , 0.01 
France,TUR,Turkey,UMICs,Eur, 0.01 , -   , -   , -   , 0.01 
France,BLR,Belarus,UMICs,Eur, 0.01 , -   , -   , -   , 0.01 
France,SRB,Serbia,UMICs,Eur, -   , -   , 0.01 , -   , 0.01 
France,PRY,Paraguay,LMICs,Amr, 0.00 , -   , -   , -   , 0.00 
France,KAZ,Kazakhstan,UMICs,Eur, -   , -   , 0.00 , -   , 0.00 
France,COL,Colombia,UMICs,Amr, -   , -   , 0.00 , -   , 0.00 
France,IDN,Indonesia,LMICs,Sear, -   , -   , 0.00 , -   , 0.00 
France,DOM,Dominican Republic,UMICs,Amr, -   , -   , -   , -   , -   
France,LBY,Libya,UMICs,Emr, -   , -   , -   , -   , -   
GAVI,Global and Regional,Global and Regional,Global and Regional,Global and Regional, 20.40 , 157.52 , -   , -   , 177.92 
GAVI,PAK,Pakistan,LMICs,Emr, -   , -   , 113.27 , -   , 113.27 
GAVI,ETH,Ethiopia,LDCs,Afr, -   , -   , 104.82 , -   , 104.82 
GAVI,COD,Democratic Republic of the Congo,LDCs,Afr, -   , -   , 103.74 , -   , 103.74 
GAVI,KEN,Kenya,Other LICs,Afr, -   , -   , 83.01 , -   , 83.01 
GAVI,BGD,Bangladesh,LDCs,Sear, -   , -   , 81.84 , -   , 81.84 
GAVI,SDN,Sudan,LDCs,Emr, -   , -   , 50.46 , -   , 50.46 
GAVI,MLI,Mali,LDCs,Afr, -   , -   , 40.73 , -   , 40.73 
GAVI,YEM,Yemen,LDCs,Emr, -   , -   , 39.61 , -   , 39.61 
GAVI,TZA,United Republic of Tanzania,LDCs,Afr, -   , -   , 36.53 , -   , 36.53 
GAVI,CMR,Cameroon,LMICs,Afr, -   , -   , 36.10 , -   , 36.10 
GAVI,VNM,Viet Nam,LMICs,Wpr, -   , -   , 35.78 , -   , 35.78 
GAVI,AFG,Afghanistan,LDCs,Emr, -   , -   , 34.15 , -   , 34.15 
GAVI,NGA,Nigeria,LMICs,Afr, -   , -   , 33.19 , -   , 33.19 
GAVI,GHA,Ghana,LMICs,Afr, -   , -   , 31.56 , -   , 31.56 
GAVI,MWI,Malawi,LDCs,Afr, -   , -   , 30.81 , -   , 30.81 
GAVI,NER,Niger,LDCs,Afr, -   , -   , 20.37 , -   , 20.37 
GAVI,NPL,Nepal,LDCs,Sear, -   , -   , 19.93 , -   , 19.93 
GAVI,UGA,Uganda,LDCs,Afr, -   , -   , 19.71 , -   , 19.71 
GAVI,MDG,Madagascar,LDCs,Afr, -   , -   , 19.28 , -   , 19.28 
GAVI,AGO,Angola,LDCs,Afr, -   , -   , 16.79 , -   , 16.79 
GAVI,RWA,Rwanda,LDCs,Afr, -   , -   , 16.51 , -   , 16.51 
GAVI,ZMB,Zambia,LDCs,Afr, -   , -   , 15.12 , -   , 15.12 
GAVI,BDI,Burundi,LDCs,Afr, -   , -   , 14.58 , -   , 14.58 
GAVI,BEN,Benin,LDCs,Afr, -   , -   , 14.09 , -   , 14.09 
GAVI,MOZ,Mozambique,LDCs,Afr, -   , -   , 13.65 , -   , 13.65 
GAVI,UZB,Uzbekistan,LMICs,Eur, -   , -   , 12.81 , -   , 12.81 
GAVI,TCD,Chad,LDCs,Afr, -   , -   , 11.61 , -   , 11.61 
GAVI,HND,Honduras,LMICs,Amr, -   , -   , 11.50 , -   , 11.50 
GAVI,BFA,Burkina Faso,LDCs,Afr, -   , -   , 10.86 , -   , 10.86 
GAVI,SLE,Sierra Leone,LDCs,Afr, -   , -   , 10.04 , -   , 10.04 
GAVI,KHM,Cambodia,LDCs,Wpr, -   , -   , 9.85 , -   , 9.85 
GAVI,NIC,Nicaragua,LMICs,Amr, -   , -   , 9.81 , -   , 9.81 
GAVI,LKA,Sri Lanka,LMICs,Sear, -   , -   , 9.79 , -   , 9.79 
GAVI,SEN,Senegal,LDCs,Afr, -   , -   , 9.06 , -   , 9.06 
GAVI,CIV,Côte d'Ivoire,LMICs,Afr, -   , -   , 9.05 , -   , 9.05 
GAVI,TGO,Togo,LDCs,Afr, -   , -   , 7.03 , -   , 7.03 
GAVI,ZWE,Zimbabwe,Other LICs,Afr, -   , -   , 6.74 , -   , 6.74 
GAVI,IND,India,LMICs,Sear, -   , -   , 6.51 , -   , 6.51 
GAVI,GIN,Guinea,LDCs,Afr, -   , -   , 6.16 , -   , 6.16 
GAVI,CAF,Central African Republic,LDCs,Afr, -   , -   , 6.09 , -   , 6.09 
GAVI,MMR,Myanmar,LDCs,Sear, -   , -   , 5.13 , -   , 5.13 
GAVI,COG,Congo,LMICs,Afr, -   , -   , 4.89 , -   , 4.89 
GAVI,BOL,Bolivia (Plurinational State of),LMICs,Amr, -   , -   , 3.63 , -   , 3.63 
GAVI,LAO,Lao People's Democratic Republic,LDCs,Wpr, -   , -   , 3.53 , -   , 3.53 
GAVI,GMB,Gambia,LDCs,Afr, -   , -   , 3.36 , -   , 3.36 
GAVI,LBR,Liberia,LDCs,Afr, -   , -   , 3.32 , -   , 3.32 
GAVI,MRT,Mauritania,LDCs,Afr, -   , -   , 3.32 , -   , 3.32 
GAVI,ERI,Eritrea,LDCs,Afr, -   , -   , 3.25 , -   , 3.25 
GAVI,PRK,Democratic People's Republic of Korea,Other LICs,Sear, -   , -   , 3.12 , -   , 3.12 
GAVI,TJK,Tajikistan,Other LICs,Eur, -   , -   , 3.10 , -   , 3.10 
GAVI,PNG,Papua New Guinea,LMICs,Wpr, -   , -   , 3.07 , -   , 3.07 
GAVI,KGZ,Kyrgyzstan,Other LICs,Eur, -   , -   , 2.72 , -   , 2.72 
GAVI,AZE,Azerbaijan,UMICs,Eur, -   , -   , 2.70 , -   , 2.70 
GAVI,SOM,Somalia,LDCs,Emr, -   , -   , 2.61 , -   , 2.61 
GAVI,MNG,Mongolia,LMICs,Wpr, -   , -   , 1.75 , -   , 1.75 
GAVI,GEO,Georgia,LMICs,Eur, -   , -   , 1.54 , -   , 1.54 
GAVI,GNB,Guinea-Bissau,LDCs,Afr, -   , -   , 1.12 , -   , 1.12 
GAVI,ARM,Armenia,LMICs,Eur, -   , -   , 0.97 , -   , 0.97 
GAVI,MDA,Republic of Moldova,LMICs,Eur, -   , -   , 0.95 , -   , 0.95 
GAVI,LSO,Lesotho,LDCs,Afr, -   , -   , 0.83 , -   , 0.83 
GAVI,GUY,Guyana,LMICs,Amr, -   , -   , 0.76 , -   , 0.76 
GAVI,BIH,Bosnia and Herzegovina,UMICs,Eur, -   , -   , 0.73 , -   , 0.73 
GAVI,ALB,Albania,UMICs,Eur, -   , -   , 0.72 , -   , 0.72 
GAVI,DJI,Djibouti,LDCs,Emr, -   , -   , 0.58 , -   , 0.58 
GAVI,COM,Comoros,LDCs,Afr, -   , -   , 0.47 , -   , 0.47 
GAVI,SLB,Solomon Islands,LDCs,Wpr, -   , -   , 0.31 , -   , 0.31 
GAVI,TLS,Timor-Leste,LDCs,Sear, -   , -   , 0.25 , -   , 0.25 
GAVI,BTN,Bhutan,LDCs,Sear, -   , -   , 0.22 , -   , 0.22 
GAVI,STP,Sao Tome and Principe,LDCs,Afr, -   , -   , 0.12 , -   , 0.12 
GAVI,HTI,Haiti,LDCs,Amr, -   , -   , 0.09 , -   , 0.09 
GAVI,KIR,Kiribati,LDCs,Wpr, -   , -   , 0.08 , -   , 0.08 
GAVI,CUB,Cuba,UMICs,Amr, -   , -   ,-0.00 , -   ,-0.00 
GAVI,SSD,South Sudan,Other LICs,Emr, -   , -   ,-0.01 , -   ,-0.01 
GAVI,UKR,Ukraine,LMICs,Eur, -   , -   ,-0.08 , -   ,-0.08 
Germany,Global and Regional,Global and Regional,Global and Regional,Global and Regional, 24.87 , 72.28 , 37.11 , 20.16 , 154.42 
Germany,IND,India,LMICs,Sear, 0.57 , 32.22 , 57.03 , 1.33 , 91.15 
Germany,CHN,China,UMICs,Wpr, 2.00 , 52.92 , 19.61 , -   , 74.53 
Germany,TZA,United Republic of Tanzania,LDCs,Afr, 39.77 , 7.60 , 14.37 , 1.37 , 63.10 
Germany,AFG,Afghanistan,LDCs,Emr, 0.03 , 0.60 , 46.19 , 0.26 , 47.08 
Germany,IDN,Indonesia,LMICs,Sear, 8.14 , 1.63 , 29.74 , -   , 39.50 
Germany,PAK,Pakistan,LMICs,Emr, -   , 15.05 , 16.03 , 4.28 , 35.36 
Germany,KEN,Kenya,Other LICs,Afr, 16.45 , 1.84 , 1.45 , 13.34 , 33.07 
Germany,KGZ,Kyrgyzstan,Other LICs,Eur, 15.68 , 2.46 , 7.25 , -   , 25.39 
Germany,BGD,Bangladesh,LDCs,Sear, 3.02 , 2.98 , 0.75 , 18.52 , 25.27 
Germany,NGA,Nigeria,LMICs,Afr, 0.19 , 19.00 , 0.90 , 0.05 , 20.14 
Germany,RWA,Rwanda,LDCs,Afr, 7.14 , 6.29 , 4.41 , 1.15 , 18.98 
Germany,MWI,Malawi,LDCs,Afr, 6.60 , 1.58 , 8.17 , 0.03 , 16.38 
Germany,CMR,Cameroon,LMICs,Afr, 12.18 , 1.10 , 1.70 , 0.01 , 14.99 
Germany,KHM,Cambodia,LDCs,Wpr, 4.01 , 0.75 , 6.01 , 1.26 , 12.03 
Germany,VNM,Viet Nam,LMICs,Wpr, 3.61 , 1.85 , 6.38 , -   , 11.84 
Germany,COD,Democratic Republic of the Congo,LDCs,Afr, 0.83 , 7.36 , 2.64 , 0.21 , 11.04 
Germany,ZWE,Zimbabwe,Other LICs,Afr, -   , 9.20 , 0.35 , 0.21 , 9.76 
Germany,NPL,Nepal,LDCs,Sear, 0.53 , 0.26 , 4.28 , 4.52 , 9.60 
Germany,GIN,Guinea,LDCs,Afr, 0.06 , 2.23 , 0.33 , 6.04 , 8.65 
Germany,TJK,Tajikistan,Other LICs,Eur, -   , 6.16 , 2.15 , -   , 8.31 
Germany,BFA,Burkina Faso,LDCs,Afr, 2.63 , 4.93 , 0.41 , 0.25 , 8.21 
Germany,ZAF,South Africa,UMICs,Afr, 0.43 , 7.23 , 0.17 , 0.02 , 7.84 
Germany,MMR,Myanmar,LDCs,Sear, -   , 3.50 , 0.21 , 3.96 , 7.67 
Germany,YEM,Yemen,LDCs,Emr, -   , -   , 0.70 , 6.50 , 7.21 
Germany,UKR,Ukraine,LMICs,Eur, -   , 6.41 , 0.35 , -   , 6.76 
Germany,BDI,Burundi,LDCs,Afr, -   , 0.17 , 5.88 , 0.55 , 6.59 
Germany,MOZ,Mozambique,LDCs,Afr, -   , 6.30 , -   , -   , 6.30 
Germany,NER,Niger,LDCs,Afr, -   , 5.18 , 0.18 , -   , 5.36 
Germany,NAM,Namibia,UMICs,Afr, -   , 5.17 , 0.03 , -   , 5.20 
Germany,CIV,Côte d'Ivoire,LMICs,Afr, -   , 4.79 , 0.03 , -   , 4.81 
Germany,PHL,Philippines,LMICs,Wpr, 2.91 , 0.12 , 1.40 , -   , 4.43 
Germany,BRA,Brazil,UMICs,Amr, 0.26 , 3.35 , 0.46 , -   , 4.07 
Germany,SLE,Sierra Leone,LDCs,Afr, -   , 4.06 , -   , -   , 4.06 
Germany,UGA,Uganda,LDCs,Afr, 1.38 , 1.72 , 0.31 , -   , 3.41 
Germany,SEN,Senegal,LDCs,Afr, 0.10 , 2.83 , 0.11 , 0.19 , 3.23 
Germany,BEN,Benin,LDCs,Afr, -   , 1.44 , 0.27 , 1.42 , 3.13 
Germany,ZMB,Zambia,LDCs,Afr, -   , 1.94 , 0.95 , -   , 2.90 
Germany,PSE,West Bank and Gaza Strip,LMICs,Not UN, 0.33 , -   , 2.06 , -   , 2.39 
Germany,MLI,Mali,LDCs,Afr, -   , 1.68 , 0.67 , -   , 2.35 
Germany,SSD,South Sudan,Other LICs,Emr, -   , -   , 2.14 , -   , 2.14 
Germany,KAZ,Kazakhstan,UMICs,Eur, -   , 2.06 , -   , -   , 2.06 
Germany,SDN,Sudan,LDCs,Emr, -   , 0.00 , 1.98 , -   , 1.98 
Germany,MDG,Madagascar,LDCs,Afr, 0.00 , 1.75 , -   , -   , 1.76 
Germany,TCD,Chad,LDCs,Afr, 0.13 , 1.44 , 0.14 , -   , 1.71 
Germany,BOL,Bolivia (Plurinational State of),LMICs,Amr, -   , 0.21 , 1.38 , -   , 1.58 
Germany,LBR,Liberia,LDCs,Afr, -   , 0.10 , 1.20 , 0.12 , 1.42 
Germany,ARM,Armenia,LMICs,Eur, -   , 1.26 , 0.05 , -   , 1.31 
Germany,UZB,Uzbekistan,LMICs,Eur, -   , 0.83 , 0.48 , -   , 1.31 
Germany,ETH,Ethiopia,LDCs,Afr, -   , 1.00 , 0.10 , 0.19 , 1.29 
Germany,TUR,Turkey,UMICs,Eur, -   , -   , 1.28 , -   , 1.28 
Germany,TGO,Togo,LDCs,Afr, -   , 0.54 , 0.56 , 0.02 , 1.11 
Germany,MAR,Morocco,LMICs,Emr, -   , -   , -   , 1.09 , 1.09 
Germany,GTM,Guatemala,LMICs,Amr, 0.00 , 0.20 , 0.64 , 0.23 , 1.07 
Germany,BIH,Bosnia and Herzegovina,UMICs,Eur, 0.09 , 0.86 , 0.04 , -   , 0.99 
Germany,GEO,Georgia,LMICs,Eur, -   , 0.67 , 0.19 , -   , 0.87 
Germany,AZE,Azerbaijan,UMICs,Eur, 0.01 , 0.84 , -   , -   , 0.85 
Germany,MEX,Mexico,UMICs,Amr, -   , -   , 0.85 , -   , 0.85 
Germany,EGY,Egypt,LMICs,Emr, 0.00 , 0.14 , 0.65 , -   , 0.79 
Germany,TLS,Timor-Leste,LDCs,Sear, -   , -   , 0.67 , -   , 0.67 
Germany,PER,Peru,UMICs,Amr, -   , 0.06 , 0.40 , 0.15 , 0.61 
Germany,HTI,Haiti,LDCs,Amr, -   , -   , -   , 0.59 , 0.59 
Germany,NIC,Nicaragua,LMICs,Amr, -   , 0.07 , 0.44 , -   , 0.51 
Germany,PNG,Papua New Guinea,LMICs,Wpr, -   , -   , 0.49 , -   , 0.49 
Germany,MDA,Republic of Moldova,LMICs,Eur, 0.16 , -   , 0.25 , 0.03 , 0.44 
Germany,LAO,Lao People's Democratic Republic,LDCs,Wpr, -   , -   , 0.42 , -   , 0.42 
Germany,MNG,Mongolia,LMICs,Wpr, -   , 0.23 , 0.04 , 0.14 , 0.41 
Germany,GHA,Ghana,LMICs,Afr, 0.04 , 0.06 , 0.25 , 0.05 , 0.40 
Germany,COL,Colombia,UMICs,Amr, -   , 0.13 , 0.26 , -   , 0.39 
Germany,GMB,Gambia,LDCs,Afr, -   , -   , 0.37 , -   , 0.37 
Germany,GAB,Gabon,UMICs,Afr, -   , 0.31 , -   , -   , 0.31 
Germany,AGO,Angola,LDCs,Afr, -   , -   , 0.29 , -   , 0.29 
Germany,ALB,Albania,UMICs,Eur, 0.11 , -   , 0.01 , 0.13 , 0.25 
Germany,SLV,El Salvador,LMICs,Amr, -   , 0.05 , 0.20 , -   , 0.25 
Germany,ERI,Eritrea,LDCs,Afr, -   , -   , 0.18 , -   , 0.18 
Germany,BLR,Belarus,UMICs,Eur, -   , -   , 0.16 , -   , 0.16 
Germany,ECU,Ecuador,UMICs,Amr, -   , -   , 0.06 , 0.06 , 0.12 
Germany,UNK,Kosovo (SCR 1244 (1999)),LMICs,Not UN, -   , -   , 0.11 , -   , 0.11 
Germany,LKA,Sri Lanka,LMICs,Sear, -   , -   , 0.08 , -   , 0.08 
Germany,CHL,Chile,UMICs,Amr, -   , -   , 0.07 , -   , 0.07 
Germany,PRY,Paraguay,LMICs,Amr, -   , -   , 0.03 , -   , 0.03 
Germany,SRB,Serbia,UMICs,Eur, 0.02 , -   , -   , -   , 0.02 
Germany,SYR,Syrian Arab Republic,LMICs,Emr, -   , -   , 0.02 , -   , 0.02 
Germany,COG,Congo,LMICs,Afr, -   , -   , 0.02 , -   , 0.02 
Germany,LSO,Lesotho,LDCs,Afr, -   , 0.02 , -   , -   , 0.02 
Germany,DOM,Dominican Republic,UMICs,Amr, -   , -   , 0.02 , -   , 0.02 
Germany,MKD,The former Yugoslav Republic of Macedonia,UMICs,Eur, -   , -   , 0.01 , -   , 0.01 
Germany,JOR,Jordan,UMICs,Emr, 0.00 , -   , 0.00 , -   , 0.00 
Germany,CPV,Cape Verde,LMICs,Afr, -   , 0.00 , -   , -   , 0.00 
Germany,TKM,Turkmenistan,LMICs,Eur, 0.00 , -   , -   , -   , 0.00 
Germany,VUT,Vanuatu,LDCs,Wpr, 0.00 , -   , -   , -   , 0.00 
Germany,SYC,Seychelles,UMICs,Afr, 0.00 , -   , -   , -   , 0.00 
Germany,IRN,Iran (Islamic Republic of),UMICs,Emr, -   , -   , 0.00 , -   , 0.00 
Germany,LBN,Lebanon,UMICs,Emr, -   , -   , -   , -   , -   
Greece,PSE,West Bank and Gaza Strip,LMICs,Not UN, 4.14 , -   , 0.01 , -   , 4.14 
Greece,Global and Regional,Global and Regional,Global and Regional,Global and Regional, 0.34 , -   , 3.78 , -   , 4.12 
Greece,ALB,Albania,UMICs,Eur, -   , -   , 0.08 , -   , 0.08 
Greece,BIH,Bosnia and Herzegovina,UMICs,Eur, -   , -   , 0.06 , -   , 0.06 
Greece,MDA,Republic of Moldova,LMICs,Eur, -   , -   , 0.05 , -   , 0.05 
Greece,SRB,Serbia,UMICs,Eur, -   , -   , 0.04 , -   , 0.04 
Greece,JOR,Jordan,UMICs,Emr, -   , -   , 0.03 , -   , 0.03 
Greece,SYR,Syrian Arab Republic,LMICs,Emr, -   , -   , 0.02 , -   , 0.02 
Greece,COG,Congo,LMICs,Afr, -   , -   , 0.02 , -   , 0.02 
Greece,IRN,Iran (Islamic Republic of),UMICs,Emr, -   , -   , 0.02 , -   , 0.02 
Greece,MKD,The former Yugoslav Republic of Macedonia,UMICs,Eur, -   , -   , 0.02 , -   , 0.02 
Greece,GEO,Georgia,LMICs,Eur, -   , -   , 0.01 , -   , 0.01 
Greece,MAR,Morocco,LMICs,Emr, -   , -   , 0.01 , -   , 0.01 
Greece,ARM,Armenia,LMICs,Eur, -   , -   , 0.01 , -   , 0.01 
Greece,EGY,Egypt,LMICs,Emr, -   , -   , 0.01 , -   , 0.01 
Greece,IRQ,Iraq,LMICs,Emr, -   , -   , 0.01 , -   , 0.01 
Greece,KAZ,Kazakhstan,UMICs,Eur, -   , -   , 0.01 , -   , 0.01 
Greece,LBN,Lebanon,UMICs,Emr, -   , -   , 0.01 , -   , 0.01 
Greece,MNE,Montenegro,UMICs,Eur, -   , -   , 0.01 , -   , 0.01 
Greece,TUR,Turkey,UMICs,Eur, -   , -   , 0.01 , -   , 0.01 
Greece,YEM,Yemen,LDCs,Emr, -   , -   , 0.01 , -   , 0.01 
Greece,ZWE,Zimbabwe,Other LICs,Afr, -   , -   , 0.01 , -   , 0.01 
Greece,PAK,Pakistan,LMICs,Emr, -   , -   , 0.01 , -   , 0.01 
Greece,ETH,Ethiopia,LDCs,Afr, -   , -   , 0.01 , -   , 0.01 
Greece,STP,Sao Tome and Principe,LDCs,Afr, -   , -   , 0.00 , -   , 0.00 
Greece,KEN,Kenya,Other LICs,Afr, -   , -   , 0.00 , -   , 0.00 
Greece,NGA,Nigeria,LMICs,Afr, -   , -   , 0.00 , -   , 0.00 
Greece,UKR,Ukraine,LMICs,Eur, -   , -   , 0.00 , -   , 0.00 
Greece,SDN,Sudan,LDCs,Emr, -   , -   , 0.00 , -   , 0.00 
Iceland,MWI,Malawi,LDCs,Afr, -   , -   , 0.92 , -   , 0.92 
Iceland,Global and Regional,Global and Regional,Global and Regional,Global and Regional, -   , -   , -   , 0.25 , 0.25 
Iceland,PSE,West Bank and Gaza Strip,LMICs,Not UN, -   , -   , 0.20 , -   , 0.20 
Iceland,AFG,Afghanistan,LDCs,Emr, -   , -   , -   , 0.18 , 0.18 
IDA,IND,India,LMICs,Sear, 116.29 , 225.25 , 102.70 , 51.14 , 495.39 
IDA,NGA,Nigeria,LMICs,Afr, 4.51 , 132.93 , 32.66 , 32.66 , 202.76 
IDA,COD,Democratic Republic of the Congo,LDCs,Afr, 17.00 , 39.50 , 119.88 , 2.78 , 179.15 
IDA,KEN,Kenya,Other LICs,Afr, 27.13 , 57.91 , 22.55 , -   , 107.58 
IDA,VNM,Viet Nam,LMICs,Wpr, 57.05 , 17.03 , 20.58 , 0.22 , 94.87 
IDA,TZA,United Republic of Tanzania,LDCs,Afr, 65.31 , 1.45 , 12.94 , -   , 79.71 
IDA,BGD,Bangladesh,LDCs,Sear, 37.03 , 15.71 , 13.63 , 11.73 , 78.10 
IDA,PAK,Pakistan,LMICs,Emr, 0.76 , 60.42 , -   , -   , 61.18 
IDA,NPL,Nepal,LDCs,Sear, 6.53 , 9.58 , 42.98 , -   , 59.10 
IDA,MOZ,Mozambique,LDCs,Afr, 9.69 , 21.02 , -   , 7.65 , 38.36 
IDA,NER,Niger,LDCs,Afr, 11.12 , 18.50 , -   , 4.09 , 33.70 
IDA,MLI,Mali,LDCs,Afr, 22.94 , 5.88 , 4.22 , -   , 33.03 
IDA,Global and Regional,Global and Regional,Global and Regional,Global and Regional, 3.23 , 19.85 , 5.78 , 1.06 , 29.91 
IDA,SEN,Senegal,LDCs,Afr, 12.62 , 1.56 , 14.79 , 0.58 , 29.55 
IDA,BDI,Burundi,LDCs,Afr, 19.22 , 4.65 , -   , -   , 23.87 
IDA,ETH,Ethiopia,LDCs,Afr, 12.44 , 7.11 , 4.00 , -   , 23.55 
IDA,AFG,Afghanistan,LDCs,Emr, 9.71 , 13.33 , 0.01 , -   , 23.05 
IDA,GEO,Georgia,LMICs,Eur, 10.57 , 1.42 , 8.19 , 0.90 , 21.09 
IDA,BEN,Benin,LDCs,Afr, 4.01 , 12.54 , 3.19 , 1.24 , 20.99 
IDA,COG,Congo,LMICs,Afr, 5.88 , 8.82 , 5.23 , -   , 19.94 
IDA,MWI,Malawi,LDCs,Afr, -   , 19.23 , 0.07 , -   , 19.30 
IDA,UGA,Uganda,LDCs,Afr, 10.82 , 1.89 , 6.31 , -   , 19.03 
IDA,AZE,Azerbaijan,UMICs,Eur, 18.04 , -   , -   , -   , 18.04 
IDA,KHM,Cambodia,LDCs,Wpr, 10.16 , 4.75 , 0.97 , -   , 15.88 
IDA,ARM,Armenia,LMICs,Eur, 2.01 , 0.36 , 12.42 , -   , 14.79 
IDA,LKA,Sri Lanka,LMICs,Sear, 8.40 , -   , 6.08 , -   , 14.48 
IDA,UZB,Uzbekistan,LMICs,Eur, 4.68 , 7.09 , 2.41 , -   , 14.18 
IDA,BFA,Burkina Faso,LDCs,Afr,-0.00 , 7.87 , 2.42 , 2.41 , 12.70 
IDA,TJK,Tajikistan,Other LICs,Eur, 4.89 , -   , 5.02 , -   , 9.91 
IDA,CIV,Côte d'Ivoire,LMICs,Afr, -   , 9.71 , -   , -   , 9.71 
IDA,LAO,Lao People's Democratic Republic,LDCs,Wpr, 5.99 , 2.00 , 0.80 , 0.85 , 9.65 
IDA,GHA,Ghana,LMICs,Afr, 2.74 , 2.86 , 2.08 , 0.77 , 8.45 
IDA,LBR,Liberia,LDCs,Afr, 1.26 , -   , 7.02 , -   , 8.28 
IDA,NIC,Nicaragua,LMICs,Amr, 3.38 , 4.63 , 0.18 , -   , 8.18 
IDA,LSO,Lesotho,LDCs,Afr, 0.22 , 7.34 , -   , 0.10 , 7.66 
IDA,ZMB,Zambia,LDCs,Afr, 1.32 , 6.01 , -   , -   , 7.33 
IDA,TGO,Togo,LDCs,Afr, -   , 0.22 , 7.06 , -   , 7.28 
IDA,MDA,Republic of Moldova,LMICs,Eur, 1.13 , 0.83 , 4.63 , -   , 6.59 
IDA,HTI,Haiti,LDCs,Amr, -   , 6.53 , -   , -   , 6.53 
IDA,MDG,Madagascar,LDCs,Afr, 0.64 , 2.49 , 1.44 , 1.76 , 6.32 
IDA,MRT,Mauritania,LDCs,Afr, 3.47 , 1.31 , 0.75 , 0.55 , 6.08 
IDA,TCD,Chad,LDCs,Afr, 1.97 , 4.04 , -   , -   , 6.01 
IDA,YEM,Yemen,LDCs,Emr, 0.11 , 5.76 , -   , 0.06 , 5.93 
IDA,ALB,Albania,UMICs,Eur, 5.11 , 0.33 , -   , -   , 5.44 
IDA,GIN,Guinea,LDCs,Afr, 2.81 , 1.15 , -   , 1.15 , 5.11 
IDA,CAF,Central African Republic,LDCs,Afr, 1.36 , 2.50 , -   , 1.21 , 5.07 
IDA,KGZ,Kyrgyzstan,Other LICs,Eur, 4.65 , 0.22 , 0.02 , -   , 4.89 
IDA,RWA,Rwanda,LDCs,Afr, 1.92 , 1.36 , -   , 0.99 , 4.28 
IDA,BOL,Bolivia (Plurinational State of),LMICs,Amr, 0.85 , -   , 2.88 , -   , 3.73 
IDA,BIH,Bosnia and Herzegovina,UMICs,Eur, 1.76 , 1.41 , -   , -   , 3.17 
IDA,DJI,Djibouti,LDCs,Emr, 0.37 ,-0.05 , 2.15 , 0.31 , 2.78 
IDA,CMR,Cameroon,LMICs,Afr, 1.04 , 0.69 , -   , 0.53 , 2.27 
IDA,SLE,Sierra Leone,LDCs,Afr, 0.31 , 0.53 , 1.38 , -   , 2.22 
IDA,WSM,Samoa,LDCs,Wpr, 0.32 , 0.36 , 1.20 , -   , 1.88 
IDA,GMB,Gambia,LDCs,Afr, 1.51 , -   , -   , -   , 1.51 
IDA,ERI,Eritrea,LDCs,Afr, -   , 0.80 , -   , 0.31 , 1.11 
IDA,SLB,Solomon Islands,LDCs,Wpr, 0.99 , -   , -   , -   , 0.99 
IDA,AGO,Angola,LDCs,Afr, -   , 0.97 , -   , -   , 0.97 
IDA,SRB,Serbia,UMICs,Eur, 0.16 , 0.39 , 0.11 , -   , 0.67 
