Donor,Recipient,Ordinal,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,Grand Total,Percentage
Czech Republic,Zambia,4,0.01,0.00,0.00,0.31,0.33,11.1%
Czech Republic,Georgia,5,0.04,0.00,0.27,0.00,0.31,10.4%
Czech Republic,Ethiopia,6,0.05,0.00,0.23,0.00,0.29,9.8%
Czech Republic,Cambodia,7,0.04,0.00,0.22,0.00,0.26,8.9%
Czech Republic,Mongolia,8,0.05,0.00,0.19,0.00,0.24,8.2%
Czech Republic,All others,9,0.35,0.03,0.28,0.00,0.66,22.3%
Denmark,Global and Regional,1,13.41,10.38,8.24,28.44,60.47,19.6%
Denmark,United Republic of Tanzania,2,3.02,18.11,43.80,0.00,64.93,21.0%
Denmark,Ghana,3,38.99,4.82,0.61,0.00,44.42,14.4%
Denmark,Kenya,4,13.43,1.71,17.11,0.00,32.25,10.4%
Denmark,Mozambique,5,19.02,9.35,0.26,0.00,28.63,9.3%
Denmark,Uganda,6,3.10,3.75,9.26,0.82,16.92,5.5%
Denmark,Myanmar,7,0.36,4.08,1.26,0.35,6.05,2.0%
Denmark,Burkina Faso,8,0.08,5.40,0.00,0.00,5.48,1.8%
Denmark,All others,9,1.28,21.08,25.91,1.83,50.10,16.2%
EU Institutions,Global and Regional,1,89.85,33.30,29.34,7.43,159.93,14.7%
EU Institutions,Afghanistan,2,3.76,0.00,81.66,0.00,85.42,7.8%
EU Institutions,India,3,0.50,3.46,77.10,0.00,81.06,7.4%
EU Institutions,Egypt,4,54.47,0.00,0.29,0.00,54.76,5.0%
EU Institutions,South Africa,5,1.01,3.72,48.01,0.00,52.74,4.8%
EU Institutions,Democratic Republic of the Congo,6,0.88,0.04,49.31,0.00,50.23,4.6%
EU Institutions,Bangladesh,7,6.19,0.13,34.17,1.05,41.54,3.8%
EU Institutions,Republic of Moldova,8,22.66,0.00,17.91,0.00,40.56,3.7%
EU Institutions,All others,9,139.88,75.46,278.75,30.79,524.89,48.1%
Finland,Global and Regional,1,14.60,0.04,2.53,4.52,21.70,32.3%
Finland,Nicaragua,2,6.87,0.00,0.02,4.66,11.55,17.2%
Finland,Mozambique,3,4.77,0.00,0.66,0.00,5.43,8.1%
Finland,Afghanistan,4,0.00,0.52,1.22,1.03,2.78,4.1%
Finland,Somalia,5,0.00,0.24,1.88,0.09,2.22,3.3%
