Donor,Recipient,Ordinal,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,Grand Total,Percentage
UNICEF,Nigeria,2,1.96,7.34,29.28,1.52,40.10,10.4%
UNICEF,Ethiopia,3,0.21,7.89,22.67,4.15,34.92,9.1%
UNICEF,Democratic Republic of the Congo,4,1.16,4.22,17.94,0.16,23.48,6.1%
UNICEF,India,5,0.09,6.80,8.90,3.14,18.93,4.9%
UNICEF,Niger,6,0.89,2.68,10.12,0.61,14.30,3.7%
UNICEF,Afghanistan,7,1.01,0.47,11.24,1.46,14.17,3.7%
UNICEF,Burkina Faso,8,0.30,3.12,7.96,0.66,12.03,3.1%
UNICEF,All others,9,9.56,42.40,148.05,22.26,222.26,57.7%
United Arab Emirates,Global and Regional,1,0.85,9.68,8.42,0.00,18.95,21.3%
United Arab Emirates,Yemen,2,0.00,0.00,18.27,0.00,18.27,20.5%
United Arab Emirates,Kazakhstan,3,0.00,0.00,11.57,0.00,11.57,13.0%
United Arab Emirates,Afghanistan,4,0.00,8.52,1.57,0.00,10.09,11.3%
United Arab Emirates,Morocco,5,0.00,0.00,7.39,0.00,7.39,8.3%
United Arab Emirates,Pakistan,6,0.00,0.00,4.48,0.00,4.48,5.0%
United Arab Emirates,Maldives,7,0.00,0.00,2.88,0.00,2.88,3.2%
United Arab Emirates,Lebanon,8,0.00,0.00,2.64,0.00,2.64,3.0%
United Arab Emirates,All others,9,0.00,2.90,9.20,0.65,12.75,14.3%
United Kingdom,Global and Regional,1,47.72,598.26,191.82,170.96,"1,008.77",38.1%
United Kingdom,India,2,71.86,110.79,68.11,173.21,423.97,16.0%
United Kingdom,Nigeria,3,60.56,107.54,9.19,5.27,182.55,6.9%
United Kingdom,Ethiopia,4,0.68,9.15,126.21,10.10,146.14,5.5%
United Kingdom,Kenya,5,0.30,91.83,9.13,5.36,106.61,4.0%
United Kingdom,Democratic Republic of the Congo,6,0.00,84.58,0.00,0.00,84.58,3.2%
United Kingdom,Zimbabwe,7,8.69,12.78,39.43,13.98,74.89,2.8%
United Kingdom,Bangladesh,8,0.78,0.00,53.55,17.82,72.15,2.7%
United Kingdom,All others,9,112.92,211.16,102.47,120.51,547.07,20.7%
United States of America,Global and Regional,1,159.45,"3,779.53",100.69,511.44,"4,551.11",34.0%
United States of America,South Africa,2,0.01,"1,019.37",0.01,0.94,"1,020.32",7.6%
United States of America,Kenya,3,2.65,765.34,1.20,27.47,796.67,6.0%
United States of America,Nigeria,4,2.20,662.95,1.09,46.91,713.16,5.3%
United States of America,United Republic of Tanzania,5,1.34,578.39,2.89,35.19,617.81,4.6%
United States of America,Ethiopia,6,0.70,496.79,1.05,51.43,549.96,4.1%
United States of America,Uganda,7,2.24,507.20,2.64,34.49,546.56,4.1%
United States of America,Mozambique,8,0.93,413.79,4.81,19.24,438.77,3.3%
United States of America,All others,9,60.44,"2,760.75",237.77,"1,092.70","4,151.66",31.0%
UNPBF,Liberia,1,0.00,0.00,0.51,0.00,0.51,100.0%
UNPBF,Guinea,2,0.00,0.00,0.00,0.00,0.00,0.0%
UNRWA,West Bank and Gaza Strip,1,0.00,0.00,105.01,0.00,105.01,54.2%
UNRWA,Jordan,2,0.00,0.00,39.81,0.00,39.81,20.6%
UNRWA,Lebanon,3,0.00,0.00,31.45,0.00,31.45,16.2%
UNRWA,Syrian Arab Republic,4,0.00,0.00,17.47,0.00,17.47,9.0%
WFP,Democratic People's Republic of Korea,1,0.00,0.00,6.43,0.00,6.43,13.4%
WFP,Zambia,2,0.00,0.00,5.02,0.00,5.02,10.5%
WFP,Cambodia,3,0.00,0.13,2.95,0.00,3.09,6.4%
WFP,Central African Republic,4,0.00,1.61,1.30,0.00,2.91,6.1%
WFP,India,5,0.00,0.00,2.55,0.00,2.55,5.3%
WFP,Madagascar,6,0.00,0.83,1.35,0.00,2.18,4.5%
WFP,Nepal,7,0.00,0.00,2.06,0.00,2.06,4.3%
WFP,Malawi,8,0.00,0.33,1.17,0.00,1.50,3.1%
WFP,All others,9,0.00,6.56,15.67,0.00,22.23,46.4%
WHO,Global and Regional,1,301.28,126.97,179.86,33.28,641.40,83.6%
WHO,India,2,2.84,1.04,2.20,0.52,6.59,0.9%
WHO,China,3,1.52,1.31,1.81,0.49,5.12,0.7%
WHO,Bangladesh,4,1.55,0.75,1.45,0.22,3.97,0.5%
WHO,Viet Nam,5,1.81,0.62,0.90,0.03,3.36,0.4%
WHO,Nigeria,6,1.88,0.49,0.65,0.24,3.26,0.4%
WHO,Indonesia,7,1.13,0.72,1.13,0.17,3.15,0.4%
WHO,Myanmar,8,1.05,0.98,0.96,0.15,3.15,0.4%
WHO,All others,9,44.59,21.76,23.66,6.89,96.89,12.6%
