Donor,Year,WHO Region,"Disbursements, Million, constant 2010 US$"
Arab Fund (AFESD),2011,MULTI, 0.61 
AsDB Special Funds,2001,Sear, -   
AsDB Special Funds,2001,Wpr, -   
AsDB Special Funds,2003,Emr, -   
AsDB Special Funds,2003,Wpr, -   
AsDB Special Funds,2004,Eur, -   
AsDB Special Funds,2004,Sear, -   
AsDB Special Funds,2004,Wpr, -   
AsDB Special Funds,2005,Eur, -   
AsDB Special Funds,2005,Sear, -   
AsDB Special Funds,2005,Wpr, -   
AsDB Special Funds,2007,Sear, -   
AsDB Special Funds,2008,Wpr, -   
AsDB Special Funds,2010,Emr, 150.97 
AsDB Special Funds,2010,Eur, 0.00 
AsDB Special Funds,2010,MULTI, 1.59 
AsDB Special Funds,2010,Sear, 35.25 
AsDB Special Funds,2010,Wpr, 36.43 
AsDB Special Funds,2011,Emr, -   
AsDB Special Funds,2011,Eur, 5.50 
AsDB Special Funds,2011,MULTI, 4.78 
AsDB Special Funds,2011,Sear, 23.88 
AsDB Special Funds,2011,Wpr, 46.40 
Australia,2001,Afr, 0.88 
Australia,2001,Emr, 2.35 
Australia,2001,MULTI, 11.63 
Australia,2001,Not UN, 0.12 
Australia,2001,Sear, 33.15 
Australia,2001,Wpr, 141.17 
Australia,2002,Afr, 4.09 
Australia,2002,MULTI, 7.04 
Australia,2002,Not UN, 0.16 
Australia,2002,Sear, 19.38 
Australia,2002,Wpr, 156.05 
Australia,2003,Afr, 1.44 
Australia,2003,Emr, 1.82 
Australia,2003,MULTI, 9.90 
Australia,2003,Not UN, 2.28 
Australia,2003,Sear, 36.09 
Australia,2003,Wpr, 131.53 
Australia,2004,Afr, 0.12 
Australia,2004,Amr, -   
Australia,2004,Emr, 2.05 
Australia,2004,MULTI, 12.99 
Australia,2004,Not UN, -   
Australia,2004,Sear, 42.03 
Australia,2004,Wpr, 114.13 
